file,cuttlefish,background,year,month,day,hour,minute,second,screen,view distance,replicate,folder
6_Uniform_2012_12_5_14_50_9_Checkerboard_4_210_20.png,6,Uniform,2012,12,5,14,50,9,Checkerboard4,210,20,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_40_55_Static_410_15.png,6,Uniform,2012,12,5,13,40,55,Static,410,15,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_49_37_Uniform_6.png,6,Uniform,2012,12,5,13,49,37,Uniform,nan,6,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_59_24_Static_610_3.png,6,Uniform,2012,12,5,13,59,24,Static,610,3,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_15_1_50_Checkerboard_4_410_21.png,6,Uniform,2012,12,5,15,1,50,Checkerboard4,410,21,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_40_32_Checkerboard_7_10_25.png,6,Uniform,2012,12,5,14,40,32,Checkerboard7,10,25,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_59_46_Static_610_5.png,6,Uniform,2012,12,5,13,59,46,Static,610,5,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_49_58_Checkerboard_4_210_19.png,6,Uniform,2012,12,5,14,49,58,Checkerboard4,210,19,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_13_47_36_Checkerboard_4_10_23.png,6,Uniform,2012,12,5,13,47,36,Checkerboard4,10,23,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
6_Uniform_2012_12_5_14_31_9_Checkerboard_7_210_6.png,6,Uniform,2012,12,5,14,31,9,Checkerboard7,210,6,/home/yg32/Documents/PostDoc/Holodeck/Code/2processedata/6_Uniform_2012_12_5_13_27
